method,label,precision,recall,f1_score,support
gatv2,Benign,0.9907687763089875,0.6953817446742342,0.8172016811841384,19293.0
gatv2,SQLi,0.8989826878457969,0.9283081459638777,0.9134101006437574,10852.0
gatv2,XSS,0.08887015177065767,0.9906015037593985,0.163107397090684,532.0
gatv2,macro avg,0.659540538641814,0.8714304647991701,0.6312397263061933,30677.0
gatv2,weighted avg,0.9426587036077151,0.7828992404733188,0.8398921531611265,30677.0
string_matching,Benign,0.0,0.0,0.0,19293.0
string_matching,SQLi,1.0,0.7007924806487283,0.8240775857398277,10852.0
string_matching,XSS,1.0,0.8627819548872181,0.9263370332996973,532.0
string_matching,micro avg,1.0,0.26286794667014374,0.4163031413747709,30677.0
string_matching,macro avg,0.6666666666666666,0.5211914785119821,0.5834715396798417,30677.0
string_matching,weighted avg,0.37109234931707796,0.26286794667014374,0.30758226887127327,30677.0
decision_tree_size_only,Benign,0.5148514851485149,0.07816306432384802,0.13572135721357215,19293.0
decision_tree_size_only,SQLi,0.6385731771288686,0.33652782897161815,0.44077001991430814,10852.0
decision_tree_size_only,XSS,0.014072359162921603,0.5827067669172933,0.027481051371836356,532.0
decision_tree_size_only,macro avg,0.38916567381343503,0.3324658867375865,0.20132414283323888,30677.0
decision_tree_size_only,weighted avg,0.5499335761726197,0.17830948267431626,0.24175533201295227,30677.0
